Failed Test Case,NT-FDUC,Path,Latest Failed Build ID
test_issue4725,4,spaCy/spacy/tests/regression/test_issue4725.py,689751308
test_issue4849,4,spaCy/spacy/tests/regression/test_issue4849.py,689751308
test_issue4903,4,spaCy/spacy/tests/regression/test_issue4903.py,689751308
test_beam_parse,4,spaCy/spacy/tests/parser/test_nn_beam.py,503042442
test_displacy_parse_ents,3,spaCy/spacy/tests/test_displacy.py,644680464
test_entity_ruler_from_disk_old_format_safe,3,spaCy/spacy/tests/regression/test_issue3526.py,640705786
test_vocab_prune_vectors,3,spaCy/spacy/tests/vocab_vectors/test_vectors.py,601375205
test_issue2179,3,spaCy/spacy/tests/regression/test_issue2001-2500.py,584947763
test_serialize_parser_roundtrip_disk,3,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,584947763
test_serialize_tensorizer_roundtrip_disk,3,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,584947763
test_lt_lemmatizer,3,spaCy/spacy/tests/lang/lt/test_lemmatizer.py,584945983
test_issue1547,3,spaCy/spacy/tests/regression/test_issue1501-2000.py,579648420
test_doc_array_to_from_string_attrs,3,spaCy/spacy/tests/doc/test_array.py,504329613
test_matcher_phrase_matcher,3,spaCy/spacy/tests/matcher/test_phrase_matcher.py,503042456
test_phrase_matcher_bool_attrs,3,spaCy/spacy/tests/matcher/test_phrase_matcher.py,503042456
test_entity_ruler_init,3,spaCy/spacy/tests/pipeline/test_entity_ruler.py,503042456
test_issue2569,3,spaCy/spacy/tests/regression/test_issue2501-3000.py,503042456
test_pipe_base_class_add_label,3,spaCy/spacy/tests/pipeline/test_pipe_methods.py,493324551
test_cli_trained_model_can_be_saved,3,spaCy/spacy/tests/regression/test_issue1622.py,461816736
test_serialize_tagger_roundtrip_bytes,2,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,697797112
test_serialize_language_exclude,2,spaCy/spacy/tests/serialize/test_serialize_language.py,689708416
test_en_lex_attrs_norm_exceptions,2,spaCy/spacy/tests/lang/en/test_exceptions.py,669378055
test_serialize_tagger_roundtrip_disk,2,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,584947763
test_nl_lemmatizer_noun_lemmas_irreg,2,spaCy/spacy/tests/lang/nl/test_lemmatizer.py,584945983
test_nl_lemmatizer_verb_lemmas_irreg,2,spaCy/spacy/tests/lang/nl/test_lemmatizer.py,584945983
test_nl_lemmatizer_lookup_noun,2,spaCy/spacy/tests/lang/nl/test_lemmatizer.py,584945983
test_nl_lemmatizer_lookup_verb,2,spaCy/spacy/tests/lang/nl/test_lemmatizer.py,584945983
test_lemmatizer_lookup_assigns,2,spaCy/spacy/tests/lang/sv/test_lemmatizer.py,574888138
test_vocab_api_symbols,2,spaCy/spacy/tests/vocab_vectors/test_vocab_api.py,557914173
test_displacy_spans,2,spaCy/spacy/tests/test_misc.py,503042456
test_displacy_render_wrapper,2,spaCy/spacy/tests/test_misc.py,503042456
test_issue3012,2,spaCy/spacy/tests/regression/test_issue3012.py,503042456
test_phrase_matcher_string_attrs,2,spaCy/spacy/tests/matcher/test_phrase_matcher.py,503042442
test_phrase_matcher_string_attrs_negative,2,spaCy/spacy/tests/matcher/test_phrase_matcher.py,503042442
test_issue118,2,spaCy/spacy/tests/regression/test_issue1-1000.py,503042442
test_issue118_prefix_reorder,2,spaCy/spacy/tests/regression/test_issue1-1000.py,503042442
test_spans_lca_matrix,2,spaCy/spacy/tests/doc/test_span.py,473104451
test_require_gpu,2,spaCy/spacy/tests/test_misc.py,461278242
test_spans_merge_non_disjoint,2,spaCy/spacy/tests/doc/test_span_merge.py,461278242
test_build_model,2,spaCy/spacy/tests/parser/test_neural_parser.py,461278242
test_train_with_many_entity_types,2,spaCy/spacy/tests/regression/test_issue2800.py,461278242
test_serialize_language_meta_disk,2,spaCy/spacy/tests/serialize/test_serialize_language.py,461278242
test_serialize_parser_roundtrip_bytes,2,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,461278242
test_serialize_tensorizer_roundtrip_bytes,2,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,461278242
test_serialize_vocab_roundtrip_disk,2,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py,461278242
test_serialize_vocab_lex_attrs_disk,2,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py,461278242
test_tt_tokenizer_handles_testcases,1,spaCy/spacy/tests/lang/tt/test_tokenizer.py,734249531
test_issue6177,1,spaCy/spacy/tests/regression/test_issue_6177.py,733751356
test_phrase_matcher_pickle,1,spaCy/spacy/tests/matcher/test_phrase_matcher.py,706485115
test_sv_noun_chunks,1,spaCy/spacy/tests/lang/sv/test_noun_chunks.py,689730947
test_language_evaluate,1,spaCy/spacy/tests/test_language.py,628155414
test_evaluate_no_pipe,1,spaCy/spacy/tests/test_language.py,628155414
test_las_per_type,1,spaCy/spacy/tests/test_scorer.py,628155414
test_ner_per_type,1,spaCy/spacy/tests/test_scorer.py,628155414
test_en_customized_tokenizer_handles_rules_property,1,spaCy/spacy/tests/lang/en/test_customized_tokenizer.py,628155414
test_issue4402,1,spaCy/spacy/tests/regression/test_issue4402.py,605654697
test_roundtrip_docs_to_json,1,spaCy/spacy/tests/test_gold.py,602705887
test_tokenizer_special_cases_with_affixes,1,spaCy/spacy/tests/tokenizer/test_tokenizer.py,591480430
test_ruler_before_ner,1,spaCy/spacy/tests/parser/test_ner.py,588959706
test_ner_before_ruler,1,spaCy/spacy/tests/parser/test_ner.py,588959706
test_entity_ruler_entity_id,1,spaCy/spacy/tests/pipeline/test_entity_ruler.py,588959706
test_entity_ruler_cfg_ent_id_sep,1,spaCy/spacy/tests/pipeline/test_entity_ruler.py,588959706
test_preserving_links_asdoc,1,spaCy/spacy/tests/pipeline/test_entity_linker.py,588933151
test_issue3345,1,spaCy/spacy/tests/regression/test_issue3001-3500.py,588933151
test_tokenizer_validate_special_case,1,spaCy/spacy/tests/tokenizer/test_tokenizer.py,587536678
test_issue2482,1,spaCy/spacy/tests/regression/test_issue2001-2500.py,584947763
test_issue3209,1,spaCy/spacy/tests/regression/test_issue3001-3500.py,584947763
