Test Case,Score,NT-FDUC,Size,Number of Test Smells,Latest Dependency Cover,Latest Failed build_id,Path
test_dashboard_chrome_like,0.15,0,32,0,,,
test_deliver_slice_inline_image,0.95,0,40,1,,,
test_deliver_slice_attachment,0.95,0,40,1,,,
test_deliver_slice_csv_attachment,0.60,0,33,1,,,
test_deliver_slice_csv_inline,0.60,0,33,1,,,
test_set_perm_sqla_table,4.05,0,110,0,,,
test_set_perm_druid_datasource,0.90,0,47,0,,,
test_set_perm_slice,0.95,0,48,0,,,
test_is_admin_only,0.60,0,41,0,,,
test_views_are_secured,0.25,0,34,0,,,
test_extra_cache_keys,0.95,0,48,0,,,
test_where_operators,0.20,0,33,0,,,
test_sql_json_cta_dynamic_db,0.25,0,34,0,,,
test_sql_json_schema_access,0.70,0,43,0,,,
test_sqllab_viz_bad_payload,1.60,0,17,4,,,
test_query_api_filter,0.80,0,14,2,,,
test_query_api_can_access_all_queries,0.80,0,27,2,,,
test_query_admin_can_access_all_queries,0.80,0,11,2,,,
test_simple_select,1.05,0,50,0,,,
test_subselect,0.30,0,35,0,,,
test_join,2.20,0,73,0,,,
test_complex_extract_tables3,0.40,0,37,0,,,
test_dashboard_tags,0.50,0,39,0,,,
test_get_async_dashboard_screenshot,0.40,0,10,1,,,
test_get_async_chart_screenshot,0.40,0,12,1,,,
test_merge_extra_filters,4.00,0,109,0,,,
test_merge_extra_filters_ignores_equal_filters,1.40,0,57,0,,,
test_merge_extra_filters_merges_different_val_types,3.45,0,98,0,,,
test_merge_extra_filters_adds_unequal_lists,1.35,0,56,0,,,
test_memoized_on_methods_with_watches,0.40,0,37,0,,,
test_get_since_until,0.75,0,44,0,,,
test_get_time_range_endpoints,0.50,0,39,0,,,
test_build_extra_filters,0.35,0,36,0,,,
test_process_metrics,0.50,0,39,0,,,
test_get_df_handles_dttm_col,0.65,0,42,0,,,
test_get_data_applies_percentage,2.90,0,87,0,,,
test_parse_adhoc_filters,0.95,0,48,0,,,
test_adhoc_filters_overwrite_legacy_filters,0.25,0,34,0,,,
test_get_data_transforms_dataframe,3.50,0,99,0,,,
test_get_data_empty_null_keys,0.25,0,34,0,,,
test_levels_for_computes_levels,0.75,0,44,0,,,
test_get_data_calls_correct_method,0.75,0,44,0,,,
test_rose_vis_get_data,0.15,0,32,0,,,
test_filter_nulls,1.40,0,57,0,,,
test_timeseries_unicode_data,0.40,0,37,0,,,
test_apply_rolling,1.00,0,49,0,,,
test_invalidate_existing_caches,1.75,0,64,0,,,
test_delete_bulk_chart_not_owned,0.50,0,39,0,,,
test_update_chart,0.45,0,38,0,,,
test_get_charts_changed_on,0.80,0,22,2,,,
test_get_charts_custom_filter,1.60,0,61,0,,,
test_chart_data_prophet,0.25,0,34,0,,,
test_get_list_custom_filter_css_template,0.55,0,40,0,,,
test_get_dashboard,0.70,0,43,0,,,
test_get_dashboards_changed_on,0.80,0,24,2,,,
test_get_dashboards_custom_filter,0.85,0,46,0,,,
test_delete_bulk_dashboard_not_owned,1.25,0,54,0,,,
test_update_dashboard_chart_owners,0.45,0,38,0,,,
test_set_dash_metadata,0.75,0,44,0,,,
test_get_items,0.10,0,31,0,,,
test_create_database_extra_metadata_validate,0.10,0,31,0,,,
test_test_connection,1.60,0,37,3,,,
test_test_connection_failed,1.50,0,35,3,,,
test_test_connection_unsafe_uri,0.80,0,23,2,,,
test_get_dataset_list,0.20,0,33,0,,,
test_get_dataset_distinct_schema,1.70,0,63,0,,,
test_create_dataset_item,0.40,0,37,0,,,
test_update_dataset_create_column,0.45,0,38,0,,,
test_df_to_sql,1.15,0,52,0,,,
test_get_create_table_stmt,1.75,0,64,0,,,
test_is_db_column_type_match,0.30,0,35,0,,,
test_presto_expand_data_with_complex_row_columns,0.60,0,41,0,,,
test_presto_expand_data_with_complex_array_columns,2.85,0,86,0,,,
test_query_cost_formatter,1.60,0,61,0,,,
test_presto_expand_data_array,1.00,0,49,0,,,
test_get_query,1.65,0,54,1,,,
test_get_query_not_found,0.40,0,11,1,,,
test_get_query_no_data_access,1.80,0,49,2,,,
test_get_query_filter,0.40,0,21,1,,,
test_get_queries_no_data_access,0.40,0,21,1,,,
